Datum,Warengruppe,Umsatz,wochentag,m,y,r_mean,perc
2020-01-30,3,272.674107524301,Thursday,1,2020,7418.282186164527,1.0342432177710827
2020-01-31,3,262.398488416877,Friday,1,2020,7475.010541726031,1.0513225556482853
2020-02-01,3,236.298483122963,Saturday,2,2020,7390.038441572688,1.035414297283686
2020-02-03,3,363.058092182778,Monday,2,2020,7617.151330252592,1.0748694480411978
2020-02-04,3,293.187058280096,Tuesday,2,2020,7617.455063528577,1.0713338158013357
2020-02-05,3,283.693413030698,Wednesday,2,2020,7634.888963192438,1.061005629493282
2020-02-06,3,256.977084781597,Thursday,2,2020,7678.456571923659,1.0538646701641383
2020-02-07,3,298.517700726553,Friday,2,2020,7647.022149493197,1.0465638870106866
2020-02-08,3,186.458723403186,Saturday,2,2020,7538.489439907717,1.024102340379216
2020-02-10,3,240.442052183063,Monday,2,2020,7488.49508843805,1.0069888039917745
2020-02-11,3,247.902692288155,Tuesday,2,2020,7450.197281453294,1.0005705074796696
2020-02-12,3,291.276260099053,Wednesday,2,2020,7487.284687089159,0.9972185781592369
2020-02-13,3,282.293229748769,Thursday,2,2020,7527.899534728877,0.9997363625230571
2020-02-14,3,320.684949098357,Friday,2,2020,7571.772645118463,1.0101156576501726
2020-02-15,3,238.382895885374,Saturday,2,2020,7566.8419385024245,1.0043671597393549
2020-02-17,3,289.086388296865,Monday,2,2020,7652.1965787030495,1.0171897570516653
2020-02-18,3,284.751573063754,Tuesday,2,2020,7641.799546674999,1.014467722328995
2020-02-19,3,256.512603111792,Wednesday,2,2020,7630.297079057843,1.0040721374008503
2020-02-20,3,306.331906992943,Thursday,2,2020,7690.90652715902,1.0251428044995214
2020-02-21,3,251.480260164512,Friday,2,2020,7656.564716385701,1.024277361258234
2020-02-22,3,216.563832579257,Saturday,2,2020,7590.920114613557,1.0167545621173268
2020-02-24,3,319.288160054313,Monday,2,2020,7601.039160205641,1.024136632073354
2020-02-25,3,348.771332057384,Tuesday,2,2020,7693.148250833147,1.0359256276641255
2020-02-26,3,343.166684869227,Wednesday,2,2020,7765.886597686456,1.0364095931312007
2020-02-27,3,301.594261416598,Thursday,2,2020,7836.817851541779,1.0547040759584838
2020-02-28,3,315.982796039172,Friday,2,2020,7839.310423696815,1.057181521391882
2020-02-29,3,275.043165869584,Saturday,2,2020,7850.416195481311,1.0639370380686097
2020-03-02,3,320.39162786914,Monday,3,2020,7903.209823156361,1.0735875537663582
2020-03-03,3,274.222081736825,Tuesday,3,2020,7904.757797368885,1.0754959780103985
2020-03-04,3,323.017236352667,Wednesday,3,2020,7965.376545304675,1.0789274490810847
2020-03-05,3,284.541316396988,Thursday,3,2020,8013.6193785787,1.0970505901694259
2020-03-06,3,308.077368780179,Friday,3,2020,7958.638655176101,1.0821970998913462
2020-03-07,3,276.224626154584,Saturday,3,2020,7941.676223050589,1.081969806375863
2020-03-09,3,336.092958327966,Monday,3,2020,7994.075768347857,1.0899365601254096
2020-03-10,3,252.162536961861,Tuesday,3,2020,7989.261220528121,1.1034805212421626
2020-03-11,3,304.509767747534,Wednesday,3,2020,7995.2532875491015,1.1113762687162427
2020-03-12,3,245.461350549799,Thursday,3,2020,8054.255914695715,1.1269154022608798
2020-03-13,3,236.167009361826,Friday,3,2020,8049.980871874478,1.1282756265276543
2020-03-14,3,150.99202848498,Saturday,3,2020,7953.070208071303,1.1105971079301242
2020-03-16,3,219.339527879006,Monday,3,2020,7881.133475851256,1.1018313506010393
2020-03-17,3,222.720114289361,Tuesday,3,2020,7821.560360391848,1.0906607659472587
2020-03-18,3,157.39723974408,Wednesday,3,2020,7658.2726510375705,1.0730710300693183
2020-03-20,3,144.844022107277,Friday,3,2020,7564.733777259474,1.0616012778217894
2020-03-21,3,63.1764502632693,Saturday,3,2020,7338.823839225878,1.0348758771641051
2020-03-23,3,154.638730942238,Monday,3,2020,7208.710997104362,1.015726317822666
2020-03-24,3,125.137568660112,Tuesday,3,2020,7077.335962652683,0.9932497392711386
2020-03-25,3,157.216879721435,Wednesday,3,2020,6928.220935381174,0.9636694786300376
2020-03-26,3,131.449758029596,Thursday,3,2020,6808.190433246258,0.9502149429244426
2020-03-27,3,139.402063779347,Friday,3,2020,6731.028664446349,0.9436792027368265
2020-03-28,3,98.8065964011987,Saturday,3,2020,6510.547100793234,0.9113361186114233
2020-03-30,3,146.88320343787,Monday,3,2020,6308.65897217372,0.8858801064057541
2020-03-31,3,167.113374617733,Tuesday,3,2020,6132.605661922226,0.8577801586311901
2020-04-01,3,147.951961633535,Wednesday,4,2020,5978.963362139163,0.8325223505451813
2020-04-02,3,166.385324908009,Thursday,4,2020,5829.365891008,0.8199285707970291
2020-04-03,3,157.023021168976,Friday,4,2020,5711.345746307392,0.8233235649344277
2020-04-04,3,76.334809737816,Saturday,4,2020,5467.288928176068,0.7852937593208899
